"Name","LibelleCourt__c","LibelleLong__c","Fin__c","Debut__c"
"26","ALL","Allemand","3999-04-12T10:09:06Z","2023-02-25T14:35:56Z"
"25","ANG","Anglais","3999-04-12T10:09:06Z","2023-02-25T14:35:56Z"
"86","ARA LITTERAL","Arabe littéral","3999-04-12T10:09:06Z","2023-02-25T14:35:56Z"
"28","ITA","Italien","3999-04-12T10:09:06Z","2023-02-25T14:35:56Z"
"33","PORT","Portugais","3999-04-12T10:09:06Z","2023-02-25T14:35:56Z"
"27","ESP","Espagnol","3999-04-12T10:09:06Z","2023-02-25T14:35:56Z"
